,player,fname,lname,jnum
0,AA-0025,Ameer,Abdullah,21
1,AA-0050,Aaron,Adams,0
2,AA-0075,Andrew,Adams,33
3,AA-0100,Anthony,Adams,0
4,AA-0200,Al,Afalava,0
5,AA-0300,Anthony,Alabi,0
6,AA-0400,Alex,Albright,0
7,AA-0500,Allen,Aldridge,0
8,AA-0525,Alvester,Alexander,0
9,AA-0543,Adrian,Amos,38
10,AA-0552,Alex,Anzalone,47
11,AA-0554,Austin,Appleby,0
12,AA-0557,Alex,Armah,40
13,AA-0562,Arik,Armstead,91
14,AA-0581,Antony,Auclair,82
15,AA-0600,Abdul-Karim,al-Jabbar,0
16,AA-0700,Andy,Alleman,0
17,AA-0800,Anthony,Allen,0
18,AA-0850,Antonio,Allen,0
19,AA-0900,Armando,Allen,0
20,AA-1000,Asher,Allen,0
21,AA-1100,Aundrae,Allison,0
22,AA-1200,Ashley,Ambrose,0
23,AA-1300,Andre',Anderson,0
24,AA-1350,Antonio,Andrews,0
25,AA-1400,Antwan,Applewhite,0
26,AA-1500,Adam,Archuleta,0
27,AA-1550,Armond,Armstead,0
28,AA-1600,Anthony,Armstrong,0
29,AA-1700,Adrian,Arrington,0
30,AA-1800,Adrian,Awasom,0
31,AA-1900,Akeem,Ayers,48
32,AA-2000,Akin,Ayodele,0
33,AB-0050,Aaron,Bailey,0
34,AB-0100,Allen,Bailey,97
35,AB-0120,Alvin,Bailey,0
36,AB-0160,Alex,Balducci,60
37,AB-0200,Alan,Ball,0
38,AB-0300,Antonio,Banks,0
39,AB-0400,Alex,Bannister,0
40,AB-0500,Allen,Barbre,73
41,AB-0550,Adairius,Barnes,38
42,AB-0600,Antwan,Barnes,0
43,AB-0650,Anthony,Barr,55
44,AB-0675,Alex,Barrett,79
45,AB-0700,Alex,Barron,0
46,AB-0800,Arnaz,Battle,0
47,AB-0900,Ainsley,Battles,0
48,AB-0950,Alan,Baxter,0
49,AB-0975,Alex,Bayer,0
50,AB-0987,Alex,Bazzie,0
51,AB-1000,Aaron,Beasley,0
52,AB-1100,Anthony,Becht,0
53,AB-1150,Adrian,Bellard,0
54,AB-1200,Arrelious,Benn,17
55,AB-1300,Adam,Bergen,0
56,AB-1400,Aaron,Berry,0
57,AB-1500,Antoine,Bethea,41
58,AB-1600,Atari,Bigby,0
59,AB-1625,Adam,Bighill,99
60,AB-1650,Andrew,Billings,99
61,AB-1700,Armon,Binns,0
62,AB-1750,Adam,Bisnowaty,66
63,AB-1800,Ahmad,Black,0
64,AB-1900,Avion,Black,0
65,AB-1925,Angelo,Blackson,97
66,AB-1950,Antwon,Blake,0
67,AB-1962,Akil,Blount,0
68,AB-1975,Alfred,Blue,28
69,AB-1987,Austin,Blythe,66
70,AB-2000,Anquan,Boldin,0
71,AB-2025,Al,Bond,0
72,AB-2050,Alan,Bonner,0
73,AB-2075,Andrew,Bonnet,0
74,AB-2100,Alex,Boone,75
75,AB-2200,Alfonso,Boone,0
76,AB-2225,Andrew,Bose,0
77,AB-2250,A.J.,Bouye,21
78,AB-2300,Alvin,Bowen,0
79,AB-2400,Andy,Bowers,0
80,AB-2500,Allen,Bradford,0
81,AB-2600,Ahmad,Bradshaw,0
82,AB-2700,Alan,Branch,97
83,AB-2730,Andre,Branch,50
84,AB-2760,Aaron,Brewer,46
85,AB-2800,Anthony,Bright,0
86,AB-2900,Aaron,Brooks,0
87,AB-3000,Ahmad,Brooks,0
88,AB-3100,Ahmad,Brooks,55
89,AB-3200,Aaron,Brown,0
90,AB-3300,Alex,Brown,0
91,AB-3350,Algernon,Brown,0
92,AB-3400,Andre,Brown,0
93,AB-3450,Anthony,Brown,30
94,AB-3500,Antonio,Brown,84
95,AB-3550,Antonio,Brown,0
96,AB-3570,Arthur,Brown,0
97,AB-3585,Austin,Brown,0
98,AB-3600,Arland,Bruce,0
99,AB-3700,Anthony,Bryant,0
100,AB-3800,Antonio,Bryant,0
101,AB-3850,Armonty,Bryant,0
102,AB-3862,Aaron,Burbridge,13
103,AB-3875,Artie,Burns,25
104,AB-3900,Antwon,Burton,0
105,AB-4000,Adam,Butler,70
106,AC-0100,Andre,Caldwell,0
107,AC-0200,Antoine,Caldwell,0
108,AC-0225,Austin,Calitro,57
109,AC-0250,A.J.,Cann,60
110,AC-0300,Anthony,Cannon,0
111,AC-0350,Avius,Capers,0
112,AC-0375,Amir,Carlisle,0
113,AC-0387,Austin,Carr,80
114,AC-0400,Adam,Carriker,0
115,AC-0500,Alex,Carrington,0
116,AC-0600,Ahmad,Carroll,0
117,AC-0650,Alex,Carter,43
118,AC-0700,Andre,Carter,0
119,AC-0900,Antoine,Cash,0
120,AC-1000,Antoine,Cason,0
121,AC-1100,Aveion,Cason,0
122,AC-1200,Anthony,Castonzo,74
123,AC-1300,Antonio,Chatman,0
124,AC-1350,Anthony,Chickillo,56
125,AC-1375,Alex,Chisum,0
126,AC-1387,Anthony,Cioffi,0
127,AC-1400,Adrien,Clarke,0
128,AC-1500,Adrian,Clayborn,99
129,AC-1600,Anthony,Clement,0
130,AC-1650,Asante,Cleveland,45
131,AC-1700,Avon,Cobourne,0
132,AC-1800,Antonio,Cochran,0
133,AC-1825,Adrian,Colbert,38
134,AC-1850,Audie,Cole,0
135,AC-1900,Andre,Coleman,0
136,AC-2000,Antonio,Coleman,0
137,AC-2100,Austin,Collie,0
138,AC-2150,Alex,Collins,34
139,AC-2200,Anthony,Collins,0
140,AC-2212,Aviante,Collins,76
141,AC-2225,Arjen,Colquhoun,0
142,AC-2250,Aaron,Colvin,22
143,AC-2300,Albert,Connell,0
144,AC-2325,Alex,Cooper,0
145,AC-2350,Amari,Cooper,89
146,AC-2375,Adrian,Coxson,0
147,AC-2387,Antonio,Crawford,34
148,AC-2400,Antonio,Cromartie,0
149,AC-2450,Alan,Cross,45
150,AC-2500,Angelo,Crowell,0
151,AC-2600,Andrew,Crummey,0
152,AC-2700,Alge,Crumpler,0
153,AC-2750,Andy,Cruse,0
154,AC-2775,A.J.,Cruz,0
155,AC-2800,Airese,Currie,0
156,AC-2900,Aaron,Curry,0
157,AD-0050,Anthony,Dable,0
158,AD-0100,Andy,Dalton,14
159,AD-0200,Antico,Dalton,0
160,AD-0212,Amara,Darboh,84
161,AD-0225,Alden,Darby,0
162,AD-0250,Andrew,Datko,0
163,AD-0270,A.J.,Davis,0
164,AD-0285,Akeem,Davis,0
165,AD-0300,Andra,Davis,0
166,AD-0350,Andre,Davis,0
167,AD-0375,Andre,Davis,0
168,AD-0400,Andre',Davis,0
169,AD-0500,Anthony,Davis,0
170,AD-0600,Anthony,Davis,0
171,AD-0650,Anthony,Davis,0
172,AD-0680,Austin,Davis,6
173,AD-0700,Andrew,Davison,0
174,AD-0750,Alex,Debniak,0
175,AD-0775,Andre,Debose,0
176,AD-0800,Al,Del Greco,0
177,AD-0850,Anthony,Denham,0
178,AD-0900,Anthony,Denman,0
179,AD-0930,Alfonzo,Dennard,0
180,AD-0960,Antonio,Dennard,0
181,AD-1000,Autry,Denson,0
182,AD-1100,Akeem,Dent,0
183,AD-1150,Andrew,DePaola,49
184,AD-1175,A.J.,Derby,85
185,AD-1187,Anthony,Dima,0
186,AD-1200,Adrian,Dingle,0
187,AD-1250,Ahmad,Dixon,0
188,AD-1300,Anthony,Dixon,0
189,AD-1400,Antonio,Dixon,0
190,AD-1450,Aaron,Dobson,0
191,AD-1475,Aaron,Donald,99
192,AD-1487,Andrew,Donnal,70
193,AD-1500,Anthony,Dorsett,0
194,AD-1550,Adam,Drake,0
195,AD-1575,Austin,Duke,8
196,AD-1600,Anthony,Dunn,0
197,AD-1700,Andre,Dyson,0
198,AE-0050,Andrew,East,0
199,AE-0100,Adimchinobe,Echemandu,0
200,AE-0200,Andrew,Economos,0
201,AE-0300,A.J.,Edds,0
202,AE-0400,Antuan,Edwards,0
203,AE-0500,Armanti,Edwards,0
204,AE-0550,Austin,Ekeler,30
205,AE-0600,Abram,Elam,0
206,AE-0700,Aaron,Elling,0
207,AE-0750,Andre,Ellington,38
208,AE-0775,Alex,Ellis,81
209,AE-0800,Atiyyah,Ellison,0
210,AE-0900,Auston,English,0
211,AE-1000,Alonzo,Ephraim,0
212,AE-1025,Aaron,Epps,0
213,AE-1037,Alex,Erickson,12
214,AE-1043,Amba,Etta-Tawo,6
215,AE-1050,Antoine,Everett,0
216,AE-1100,Antone,Exum,40
217,AE-1200,Anthony,Ezeakunne,0
218,AF-0050,Anthony,Fabiano,61
219,AF-0100,Alan,Faneca,0
220,AF-0200,Anthony,Fasano,80
221,AF-0300,A.J.,Feeley,0
222,AF-0400,Aaron,Fields,0
223,AF-0500,Alfred,Fincher,0
224,AF-0550,Anthony,Firkser,88
225,AF-0600,Anthony,Floyd,0
226,AF-0700,Andre,Fluellen,0
227,AF-0800,Albert,Fontenot,0
228,AF-0900,Arian,Foster,0
229,AF-0950,A.J.,Francis,64
230,AF-1000,Aaron,Francisco,0
231,AF-1100,Aubrayo,Franklin,0
232,AF-1150,Andrew,Franks,0
233,AF-1200,Andre,Frazier,0
234,AF-1300,Antonio,Freeman,0
235,AF-1400,Arturo,Freeman,0
236,AF-1500,Alani,Fua,0
237,AF-1600,Adam,Fuehne,0
238,AG-0100,Andrew,Gachkar,57
239,AG-0200,Anthony,Gaitor,0
240,AG-0250,Andy,Gallik,0
241,AG-0300,Antonio,Garay,0
242,AG-0350,Antonio,Garcia,63
243,AG-0400,Andrew,Gardner,0
244,AG-0500,Antonio,Gates,85
245,AG-0600,Akbar,Gbaja-Biamila,0
246,AG-0612,Austin,Gearing,0
247,AG-0625,Avery,Gennesy,66
248,AG-0650,Adam,Gettis,72
249,AG-0700,Aaron,Gibson,0
250,AG-0750,Alex,Gillett,0
251,AG-0775,Adarius,Glanton,53
252,AG-0787,Andrew,Gleichert,0
253,AG-0800,Aaron,Glenn,0
254,AG-0900,Andrew,Glover,0
255,AG-0950,Antonio,Glover,0
256,AG-1000,Adam,Goldberg,0
257,AG-1100,Anthony,Gonzalez,0
258,AG-1150,Antwan,Goodley,0
259,AG-1200,Andre',Goodman,0
260,AG-1300,Amon,Gordon,0
261,AG-1350,Adam,Gotsis,99
262,AG-1400,Aaron,Graham,0
263,AG-1450,Antwane,Grant,0
264,AG-1475,Alex,Gray,0
265,AG-1487,Alex,Gray,89
266,AG-1500,A.J.,Green,18
